Subject Name	Subject ID	Min X	PZX	P25 X	P50 X	P75 X	P90 X	P99 X	Max X	Min Y	PZY	P25 Y	P50 Y	P75 Y	P90 Y	P99 Y	Max Y	X4	X3	X2	X1	X0
Social and Community Studies	70	10	0	0	0	0	0	0	0	0	0	0	6.33	18.4	42.92	0	0	0	0	0	0	0
Sport and Recreation	73	10	0	0	0	0	0	0	0	0	0	0	8.21	23.21	50.53	0	0	0	0	0	0	0
Tourism	75	10	0	0	0	0	0	0	0	0	0	0	9.42	22.42	44.55	0	0	0	0	0	0	0
Visual Arts in Practice	80	10	0	0	0	0	0	0	0	0	0	0	10.96	25.34	48.34	0	0	0	0	0	0	0
Diploma in Business	91	0	58.72	58.72	58.72	58.72	58.72	58.72	58.72	0	58.72	58.72	58.72	58.72	58.72	58.72	58.72	0	0	0	0	0
Cert III Agriculture	92	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Automotive Electrical Technology	114	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Aviation	111	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Business	81	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Cabinet Making	83	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Carpentry	84	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Child Care	96	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Early Childhood Education	123	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Fitness	82	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Health Services Assistance	108	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Health Support Services	131	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Hospitality	139	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Lab Skills	135	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Laboratory Skills	129	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Light Vehicle Mechanical Tech	85	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
Cert III Retail	133	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	0	0	0	0	0
