Aggregate,ATAR
252.22,54.55
252.01,54.5
251.79,54.45
251.58,54.4
251.37,54.35
251.15,54.3
250.94,54.25
250.72,54.2
250.51,54.15
250.3,54.1
250.08,54.05
249.87,54.0
249.66,53.95
249.45,53.9
249.24,53.85
249.03,53.8
248.82,53.75
248.61,53.7
248.41,53.65
248.21,53.6
248.01,53.55
247.81,53.5
247.62,53.45
247.43,53.4
247.24,53.35
247.06,53.3
246.88,53.25
246.7,53.2
246.53,53.15
246.36,53.1
246.19,53.05
246.04,53.0
245.89,52.95
245.74,52.9
245.59,52.85
245.44,52.8
245.3,52.75
245.14,52.7
244.99,52.65
244.82,52.6
244.65,52.55
244.47,52.5
244.25,52.45
244.02,52.4
243.77,52.35
243.52,52.3
243.26,52.25
243.01,52.2
242.78,52.15
242.57,52.1
242.38,52.05
242.22,52.0
242.07,51.95
241.93,51.9
241.8,51.85
241.67,51.8
241.53,51.75
241.39,51.7
241.25,51.65
241.09,51.6
240.93,51.55
240.76,51.5
240.57,51.45
240.39,51.4
240.19,51.35
239.99,51.3
239.79,51.25
239.58,51.2
239.35,51.15
239.1,51.1
238.85,51.05
238.59,51.0
238.33,50.95
238.1,50.9
237.88,50.85
237.67,50.8
237.46,50.75
237.25,50.7
237.04,50.65
236.84,50.6
236.64,50.55
236.44,50.5
236.24,50.45
236.05,50.4
235.85,50.35
235.66,50.3
235.47,50.25
235.28,50.2
235.1,50.15
234.91,50.1
234.73,50.05
234.54,50.0
234.36,49.95
234.18,49.9
234.0,49.85
233.82,49.8
233.64,49.75
233.46,49.7
233.29,49.65
233.11,49.6
232.94,49.55
232.76,49.5
232.58,49.45
232.41,49.4
232.23,49.35
232.06,49.3
231.89,49.25
231.71,49.2
231.54,49.15
231.36,49.1
231.19,49.05
231.01,49.0
230.84,48.95
230.66,48.9
230.48,48.85
230.31,48.8
230.13,48.75
229.95,48.7
229.77,48.65
229.59,48.6
229.41,48.55
229.22,48.5
229.04,48.45
228.86,48.4
228.68,48.35
228.5,48.3
228.31,48.25
228.13,48.2
227.95,48.15
227.77,48.1
227.58,48.05
227.4,48.0
227.22,47.95
227.04,47.9
226.85,47.85
226.67,47.8
226.48,47.75
226.3,47.7
226.12,47.65
225.93,47.6
225.75,47.55
225.57,47.5
225.39,47.45
225.2,47.4
225.02,47.35
224.84,47.3
224.66,47.25
224.48,47.2
224.3,47.15
224.12,47.1
223.93,47.05
223.75,47.0
223.57,46.95
223.39,46.9
223.21,46.85
223.03,46.8
222.84,46.75
222.66,46.7
222.47,46.65
222.27,46.6
222.08,46.55
221.88,46.5
221.68,46.45
221.48,46.4
221.28,46.35
221.08,46.3
220.87,46.25
220.66,46.2
220.46,46.15
220.25,46.1
220.04,46.05
219.83,46.0
219.62,45.95
219.41,45.9
219.2,45.85
218.99,45.8
218.78,45.75
218.58,45.7
218.37,45.65
218.16,45.6
217.96,45.55
217.76,45.5
217.55,45.45
217.35,45.4
217.16,45.35
216.96,45.3
216.77,45.25
216.58,45.2
216.39,45.15
216.2,45.1
216.02,45.05
215.84,45.0
215.67,44.95
215.49,44.9
215.33,44.85
215.16,44.8
215.0,44.75
214.85,44.7
214.7,44.65
214.55,44.6
214.41,44.55
214.28,44.5
214.15,44.45
214.02,44.4
213.9,44.35
213.79,44.3
213.68,44.25
213.58,44.2
213.49,44.15
213.4,44.1
213.32,44.05
213.24,44.0
213.14,43.95
213.0,43.9
212.82,43.85
212.61,43.8
212.37,43.75
212.11,43.7
211.85,43.65
211.6,43.6
211.35,43.55
211.12,43.5
210.92,43.45
210.72,43.4
210.52,43.35
210.32,43.3
210.13,43.25
209.93,43.2
209.74,43.15
209.54,43.1
209.35,43.05
209.16,43.0
208.97,42.95
208.78,42.9
208.59,42.85
208.4,42.8
208.21,42.75
208.02,42.7
207.84,42.65
207.65,42.6
207.47,42.55
207.28,42.5
207.1,42.45
206.91,42.4
206.73,42.35
206.55,42.3
206.37,42.25
206.19,42.2
206.01,42.15
205.83,42.1
205.65,42.05
205.47,42.0
205.29,41.95
205.11,41.9
204.94,41.85
204.76,41.8
204.58,41.75
204.41,41.7
204.23,41.65
204.05,41.6
203.88,41.55
203.7,41.5
203.53,41.45
203.35,41.4
203.18,41.35
203.01,41.3
202.83,41.25
202.66,41.2
202.48,41.15
202.31,41.1
202.14,41.05
201.96,41.0
201.79,40.95
201.62,40.9
201.44,40.85
201.27,40.8
201.09,40.75
200.92,40.7
200.75,40.65
200.57,40.6
200.4,40.55
200.23,40.5
200.05,40.45
199.88,40.4
199.7,40.35
199.53,40.3
199.35,40.25
199.18,40.2
199.0,40.15
198.83,40.1
198.65,40.05
198.47,40.0
198.3,39.95
198.12,39.9
197.94,39.85
197.77,39.8
197.59,39.75
197.41,39.7
197.23,39.65
197.06,39.6
196.88,39.55
196.7,39.5
196.52,39.45
196.34,39.4
196.16,39.35
195.98,39.3
195.8,39.25
195.62,39.2
195.43,39.15
195.25,39.1
195.07,39.05
194.89,39.0
194.71,38.95
194.53,38.9
194.35,38.85
194.16,38.8
193.98,38.75
193.8,38.7
193.62,38.65
193.44,38.6
193.26,38.55
193.08,38.5
192.9,38.45
192.72,38.4
192.54,38.35
192.36,38.3
192.18,38.25
192.0,38.2
191.82,38.15
191.63,38.1
191.45,38.05
191.27,38.0
191.09,37.95
190.91,37.9
190.73,37.85
190.55,37.8
190.37,37.75
190.19,37.7
190.01,37.65
189.83,37.6
189.65,37.55
189.47,37.5
174.11,37.45
173.9,37.4
173.68,37.35
173.46,37.3
173.25,37.25
173.03,37.2
172.82,37.15
172.6,37.1
172.38,37.05
172.17,37.0
171.95,36.95
171.74,36.9
171.52,36.85
171.3,36.8
171.09,36.75
170.87,36.7
170.66,36.65
170.44,36.6
170.22,36.55
170.01,36.5
169.79,36.45
169.58,36.4
169.36,36.35
169.15,36.3
168.93,36.25
168.71,36.2
168.5,36.15
168.28,36.1
168.07,36.05
167.85,36.0
167.63,35.95
167.42,35.9
167.2,35.85
166.99,35.8
166.77,35.75
166.56,35.7
166.34,35.65
166.12,35.6
165.91,35.55
165.69,35.5
165.48,35.45
165.26,35.4
165.04,35.35
164.83,35.3
164.61,35.25
164.4,35.2
164.18,35.15
163.97,35.1
163.75,35.05
163.53,35.0
163.32,34.95
163.1,34.9
162.89,34.85
162.67,34.8
162.45,34.75
162.24,34.7
162.02,34.65
161.8,34.6
161.59,34.55
161.37,34.5
161.16,34.45
160.94,34.4
160.72,34.35
160.51,34.3
160.29,34.25
160.07,34.2
159.86,34.15
159.64,34.1
159.43,34.05
159.21,34.0
158.99,33.95
158.78,33.9
158.56,33.85
158.34,33.8
158.13,33.75
157.91,33.7
157.69,33.65
157.48,33.6
157.26,33.55
157.04,33.5
156.83,33.45
156.61,33.4
156.39,33.35
156.18,33.3
155.96,33.25
155.74,33.2
155.53,33.15
155.31,33.1
155.09,33.05
154.88,33.0
154.66,32.95
154.44,32.9
154.23,32.85
154.01,32.8
153.79,32.75
153.58,32.7
153.36,32.65
153.14,32.6
152.93,32.55
152.71,32.5
152.49,32.45
152.27,32.4
152.06,32.35
151.84,32.3
151.62,32.25
151.41,32.2
151.19,32.15
150.97,32.1
150.76,32.05
150.54,32.0
150.32,31.95
150.1,31.9
149.89,31.85
149.67,31.8
149.45,31.75
149.24,31.7
149.02,31.65
148.8,31.6
148.58,31.55
148.37,31.5
148.15,31.45
147.93,31.4
147.72,31.35
147.5,31.3
147.28,31.25
147.06,31.2
146.85,31.15
146.63,31.1
146.41,31.05
146.2,31.0
145.98,30.95
145.76,30.9
145.54,30.85
145.33,30.8
145.11,30.75
144.89,30.7
144.68,30.65
144.46,30.6
144.24,30.55
144.02,30.5
143.81,30.45
143.59,30.4
143.37,30.35
143.16,30.3
142.94,30.25
142.72,30.2
142.5,30.15
142.29,30.1
142.07,30.05
