Aggregate,ATAR
256.92,55.1
256.74,55.05
256.56,55.0
256.38,54.95
256.2,54.9
256.02,54.85
255.84,54.8
255.66,54.75
255.48,54.7
255.3,54.65
255.12,54.6
254.94,54.55
254.76,54.5
254.58,54.45
254.4,54.4
254.22,54.35
254.05,54.3
253.87,54.25
253.69,54.2
253.51,54.15
253.33,54.1
253.16,54.05
252.98,54.0
252.8,53.95
252.63,53.9
252.45,53.85
252.27,53.8
252.1,53.75
251.92,53.7
251.74,53.65
251.57,53.6
251.39,53.55
251.21,53.5
251.04,53.45
250.86,53.4
250.69,53.35
250.51,53.3
250.34,53.25
250.16,53.2
249.98,53.15
249.81,53.1
249.64,53.05
249.46,53.0
249.29,52.95
249.11,52.9
248.94,52.85
248.76,52.8
248.59,52.75
248.42,52.7
248.25,52.65
248.07,52.6
247.9,52.55
247.73,52.5
247.55,52.45
247.38,52.4
247.21,52.35
247.04,52.3
246.87,52.25
246.69,52.2
246.52,52.15
246.35,52.1
246.18,52.05
246.01,52.0
245.84,51.95
245.67,51.9
245.49,51.85
245.32,51.8
245.15,51.75
244.98,51.7
244.81,51.65
244.64,51.6
244.47,51.55
244.3,51.5
244.13,51.45
243.96,51.4
243.79,51.35
243.62,51.3
243.45,51.25
243.28,51.2
243.11,51.15
242.94,51.1
242.77,51.05
242.6,51.0
242.43,50.95
242.26,50.9
242.09,50.85
241.93,50.8
241.76,50.75
241.59,50.7
241.42,50.65
241.25,50.6
241.09,50.55
240.92,50.5
240.75,50.45
240.59,50.4
240.42,50.35
240.25,50.3
240.08,50.25
239.92,50.2
239.75,50.15
239.59,50.1
239.42,50.05
239.25,50.0
239.09,49.95
238.92,49.9
238.76,49.85
238.59,49.8
238.42,49.75
238.26,49.7
238.09,49.65
237.93,49.6
237.76,49.55
237.6,49.5
237.43,49.45
237.27,49.4
237.1,49.35
236.94,49.3
236.78,49.25
236.61,49.2
236.45,49.15
236.28,49.1
236.12,49.05
235.96,49.0
235.8,48.95
235.63,48.9
235.47,48.85
235.31,48.8
235.15,48.75
234.98,48.7
234.82,48.65
234.66,48.6
234.5,48.55
234.34,48.5
234.18,48.45
234.01,48.4
233.85,48.35
233.69,48.3
233.53,48.25
233.37,48.2
233.21,48.15
233.05,48.1
232.88,48.05
232.72,48.0
232.56,47.95
232.39,47.9
232.23,47.85
232.06,47.8
231.9,47.75
231.73,47.7
231.57,47.65
231.41,47.6
231.25,47.55
231.09,47.5
230.92,47.45
230.76,47.4
230.6,47.35
230.44,47.3
230.28,47.25
230.12,47.2
229.96,47.15
229.8,47.1
229.64,47.05
229.48,47.0
229.32,46.95
229.16,46.9
229.0,46.85
228.84,46.8
228.69,46.75
228.53,46.7
228.37,46.65
228.21,46.6
228.05,46.55
227.89,46.5
227.73,46.45
227.57,46.4
227.41,46.35
227.25,46.3
227.09,46.25
226.93,46.2
226.77,46.15
226.61,46.1
226.45,46.05
226.29,46.0
226.13,45.95
225.97,45.9
225.81,45.85
225.66,45.8
225.5,45.75
225.34,45.7
225.18,45.65
225.02,45.6
224.86,45.55
224.7,45.5
224.54,45.45
224.38,45.4
224.23,45.35
224.07,45.3
223.91,45.25
223.75,45.2
223.59,45.15
223.43,45.1
223.27,45.05
223.11,45.0
222.95,44.95
222.8,44.9
222.64,44.85
222.48,44.8
222.32,44.75
222.16,44.7
222.01,44.65
221.85,44.6
221.69,44.55
221.53,44.5
221.38,44.45
221.22,44.4
221.06,44.35
220.91,44.3
220.75,44.25
220.59,44.2
220.43,44.15
220.28,44.1
220.12,44.05
219.96,44.0
219.81,43.95
219.65,43.9
219.49,43.85
219.33,43.8
219.18,43.75
219.02,43.7
218.86,43.65
218.71,43.6
218.55,43.55
218.39,43.5
218.23,43.45
218.08,43.4
217.92,43.35
217.76,43.3
217.6,43.25
217.45,43.2
217.29,43.15
217.13,43.1
216.98,43.05
216.82,43.0
216.66,42.95
216.51,42.9
216.35,42.85
216.19,42.8
216.03,42.75
215.88,42.7
215.72,42.65
215.56,42.6
215.41,42.55
215.25,42.5
215.09,42.45
214.93,42.4
214.78,42.35
214.62,42.3
214.46,42.25
214.31,42.2
214.15,42.15
213.99,42.1
213.83,42.05
213.68,42.0
213.52,41.95
213.36,41.9
213.21,41.85
213.05,41.8
212.89,41.75
212.73,41.7
212.58,41.65
212.42,41.6
212.26,41.55
212.11,41.5
211.95,41.45
211.79,41.4
211.63,41.35
211.48,41.3
211.32,41.25
211.16,41.2
211.01,41.15
210.85,41.1
210.69,41.05
210.53,41.0
210.38,40.95
210.22,40.9
210.06,40.85
209.91,40.8
209.75,40.75
209.59,40.7
209.43,40.65
209.28,40.6
209.12,40.55
208.96,40.5
208.81,40.45
208.65,40.4
208.49,40.35
208.34,40.3
208.18,40.25
208.02,40.2
207.87,40.15
207.71,40.1
207.55,40.05
207.4,40.0
207.24,39.95
207.08,39.9
206.93,39.85
206.77,39.8
206.61,39.75
206.45,39.7
206.3,39.65
206.14,39.6
205.98,39.55
205.83,39.5
205.67,39.45
205.52,39.4
205.36,39.35
205.2,39.3
205.05,39.25
204.89,39.2
204.73,39.15
204.58,39.1
204.42,39.05
204.26,39.0
204.11,38.95
203.95,38.9
203.79,38.85
203.64,38.8
203.48,38.75
