Aggregate,ATAR
313.48,68.7
313.25,68.65
313.01,68.6
312.76,68.55
312.51,68.5
312.26,68.45
312.0,68.4
311.75,68.35
311.49,68.3
311.23,68.25
310.98,68.2
310.73,68.15
310.49,68.1
310.24,68.05
310.0,68.0
309.76,67.95
309.53,67.9
309.27,67.85
308.5,67.8
308.14,67.75
307.8,67.7
307.49,67.65
307.19,67.6
306.91,67.55
306.65,67.5
306.39,67.45
306.15,67.4
305.92,67.35
305.71,67.3
305.52,67.25
305.33,67.2
305.15,67.15
304.97,67.1
304.8,67.05
304.61,67.0
304.42,66.95
304.23,66.9
304.05,66.85
303.87,66.8
303.68,66.75
303.48,66.7
303.27,66.65
303.05,66.6
302.82,66.55
302.6,66.5
302.38,66.45
302.16,66.4
301.95,66.35
301.73,66.3
301.52,66.25
301.31,66.2
301.1,66.15
300.89,66.1
300.69,66.05
300.49,66.0
300.29,65.95
300.09,65.9
299.89,65.85
299.68,65.8
299.46,65.75
299.25,65.7
299.03,65.65
298.82,65.6
298.6,65.55
298.39,65.5
298.17,65.45
297.95,65.4
297.73,65.35
297.52,65.3
297.3,65.25
297.08,65.2
296.85,65.15
296.62,65.1
296.38,65.05
296.13,65.0
295.86,64.95
295.57,64.9
295.26,64.85
294.95,64.8
294.65,64.75
294.36,64.7
294.1,64.65
293.85,64.6
293.61,64.55
293.37,64.5
293.14,64.45
292.91,64.4
292.68,64.35
292.46,64.3
292.24,64.25
292.02,64.2
291.8,64.15
291.59,64.1
291.37,64.05
291.16,64.0
290.94,63.95
290.73,63.9
290.52,63.85
290.3,63.8
290.09,63.75
289.87,63.7
289.65,63.65
289.43,63.6
289.2,63.55
288.98,63.5
288.75,63.45
288.52,63.4
288.3,63.35
288.06,63.3
287.83,63.25
287.61,63.2
287.4,63.15
287.18,63.1
286.97,63.05
286.77,63.0
286.57,62.95
286.38,62.9
286.2,62.85
286.02,62.8
285.85,62.75
285.67,62.7
285.5,62.65
285.32,62.6
285.15,62.55
284.96,62.5
284.75,62.45
284.52,62.4
284.28,62.35
284.03,62.3
283.77,62.25
283.49,62.2
283.22,62.15
282.94,62.1
282.68,62.05
282.43,62.0
282.19,61.95
281.96,61.9
281.72,61.85
281.49,61.8
281.26,61.75
281.03,61.7
280.81,61.65
280.59,61.6
280.38,61.55
280.18,61.5
279.97,61.45
279.76,61.4
279.55,61.35
279.33,61.3
279.12,61.25
278.91,61.2
278.69,61.15
278.48,61.1
278.27,61.05
278.07,61.0
277.86,60.95
277.66,60.9
277.45,60.85
277.24,60.8
277.03,60.75
276.81,60.7
276.59,60.65
276.36,60.6
276.14,60.55
275.91,60.5
275.69,60.45
275.47,60.4
275.25,60.35
275.03,60.3
274.82,60.25
274.61,60.2
274.41,60.15
274.22,60.1
274.03,60.05
273.85,60.0
273.68,59.95
273.51,59.9
273.35,59.85
273.19,59.8
273.03,59.75
272.87,59.7
272.71,59.65
272.54,59.6
272.36,59.55
272.17,59.5
271.98,59.45
271.77,59.4
271.54,59.35
271.32,59.3
271.1,59.25
270.87,59.2
270.65,59.15
270.42,59.1
270.19,59.05
269.96,59.0
269.73,58.95
269.5,58.9
269.26,58.85
269.03,58.8
268.79,58.75
268.56,58.7
268.33,58.65
268.09,58.6
267.86,58.55
267.63,58.5
267.41,58.45
267.19,58.4
266.98,58.35
266.77,58.3
266.57,58.25
266.35,58.2
266.15,58.15
265.95,58.1
265.75,58.05
265.55,58.0
265.36,57.95
265.17,57.9
264.97,57.85
264.78,57.8
264.59,57.75
264.4,57.7
264.21,57.65
264.02,57.6
263.83,57.55
263.64,57.5
263.45,57.45
263.26,57.4
263.07,57.35
262.89,57.3
262.7,57.25
262.51,57.2
262.32,57.15
262.13,57.1
261.94,57.05
261.76,57.0
261.57,56.95
261.38,56.9
261.19,56.85
261.0,56.8
260.82,56.75
260.63,56.7
260.44,56.65
260.25,56.6
260.06,56.55
259.87,56.5
259.68,56.45
259.49,56.4
259.3,56.35
259.11,56.3
258.91,56.25
258.72,56.2
258.53,56.15
258.34,56.1
258.14,56.05
257.95,56.0
257.75,55.95
257.56,55.9
257.37,55.85
257.17,55.8
256.98,55.75
256.79,55.7
256.59,55.65
256.4,55.6
256.21,55.55
256.01,55.5
255.82,55.45
255.62,55.4
255.42,55.35
255.23,55.3
255.03,55.25
254.83,55.2
254.64,55.15
254.44,55.1
254.24,55.05
254.05,55.0
253.85,54.95
253.65,54.9
253.45,54.85
253.25,54.8
253.05,54.75
252.84,54.7
252.64,54.65
252.43,54.6
252.22,54.55
252.01,54.5
251.79,54.45
251.58,54.4
251.37,54.35
251.15,54.3
250.94,54.25
250.72,54.2
250.51,54.15
250.3,54.1
250.08,54.05
249.87,54.0
249.66,53.95
249.45,53.9
249.24,53.85
249.03,53.8
248.82,53.75
248.61,53.7
248.41,53.65
248.21,53.6
248.01,53.55
247.81,53.5
247.62,53.45
247.43,53.4
247.24,53.35
247.06,53.3
246.88,53.25
246.7,53.2
246.53,53.15
246.36,53.1
246.19,53.05
246.04,53.0
245.89,52.95
245.74,52.9
245.59,52.85
245.44,52.8
245.3,52.75
