Subject Name	Subject ID	Min X	PZX	P25 X	P50 X	P75 X	P90 X	P99 X	Max X	Min Y	PZY	P25 Y	P50 Y	P75 Y	P90 Y	P99 Y	Max Y	X4	X3	X2	X1	X0	Z3	Z2	Z1	Z0
Dance	18	10	54.0	72	82	91	97	100	100	0	22.55	42.54	56.35	68.04	74.82	77.83	78.33	-2.8732252614167833e-06	0.0006035947851424448	-0.03393729439829892	1.0920717951955905	-8.101192278980665	1.1966504921545131e-18	0.00965098566308226	-0.1052517921146876	0.08741935483863195
Design	20	10	45.0	60	72	84	91	99	100	0	33.72	49.76	63.28	74.98	80.54	85.68	86.32	-8.282645775345233e-07	0.0001120388199874971	-0.0024536486864673475	0.9043655601891097	-8.898487050904713	3.1211199232257853e-19	0.002120430107526864	0.8467698924731177	-8.679741935483836
Digital Solutions	21	10	48.75	65	78	89	94	98	100	0	40.22	61.47	80.34	90.06	92.86	94.56	95.41	-1.9785141857759676e-06	0.00028074046562419504	-0.006851413871047714	0.8904758052392355	-8.472472999182685	-5.2013474286111745e-19	0.004910324969148589	0.7493619909502222	-7.984652406417069
Drama	22	10	51.0	68	80	89	96	100	100	0	24.87	45.56	63.83	75.54	82.68	85.96	86.46	-3.428448737720049e-06	0.0006668355763461201	-0.03397567480624206	1.1008221678251646	-8.24063435184469	-8.042562605024551e-19	0.010528325123152826	-0.035692118226604785	-0.6959113300492596
Earth and Environmental Science	25	10	54.75	73	80	87	92	96	100	0	16.65	49.02	65.37	78.74	85.71	89.81	93.91	-6.8021786023764705e-06	0.0013073843362043092	-0.063777414918255	1.097641402322163	-5.83490004680489	1.9280537685231632e-18	0.02225170068027185	-1.0687959183673361	8.462789115646144
Economics	26	10	50.25	67	79	88	94	98	100	0	50.99	72.53	88.08	94.11	96.39	97.41	97.92	-1.469884433404336e-06	0.00018230360932734122	-0.004667211532287491	1.2056519796140148	-11.751097202456123	9.305075037246847e-19	0.0003387998982962735	1.246368548182059	-12.497565471650226
Engineering	27	10	46.5	62	75	86	92	97	100	0	51.16	71.04	86.87	93.87	96.03	97.25	97.98	1.8620640388569812e-07	-0.000172480779604008	0.017777150615250887	0.8364221473458701	-9.960210003566509	5.371354152546217e-18	-0.0022840236686397972	1.5306035502958877	-15.077633136094882
English	31	10	45.75	61	72	83	91	99	100	0	32.05	52.67	70.12	83.18	89.48	93.6	94.11	-1.237856221866726e-06	7.150012407350747e-05	0.0142486390785878	0.056606838097457035	-2.0388510237452024	3.6866094243511775e-18	0.008929331263296647	0.3987625783451381	-4.880558909781044
English and Literature Extension	29	10	60.0	80	90	96	99	100	100	0	63.36	82.4	90.57	93.66	94.82	95.16	95.66	-2.5245984567146187e-06	0.0005934533224191102	-0.052316617243338664	3.031224904111893	-25.648657106441718	-2.125091070877545e-18	-0.004501785714285374	1.5823035714285572	-15.372857142857079
English as an Additional Language	30	10	46.5	62	72	81	90	98	100	0	34.32	56.54	73.29	84.3	91.31	95.02	95.95	-9.224597226981668e-07	-3.375129342935582e-05	0.024642771594753	-0.2506262921496484	0.09776793145561413	-1.894253331190964e-18	0.009478908188585855	0.40482630272951947	-4.996153846153803
Film Television and New Media	35	10	48.0	64	75	86	93	100	100	0	24.02	41.55	56.15	69.76	77.04	82.99	83.49	-1.907064237085834e-06	0.0003305432249716727	-0.01094001847845193	0.5773752563603068	-4.98847596725167	-3.405426641023443e-19	0.00858197358197365	0.13437839937839569	-2.2019813519813205
Food and Nutrition	36	10	43.5	58	70	82	90	97	100	0	27.19	43.08	58.12	71.78	79.21	84.44	86.68	-9.856347749019123e-07	0.00011276985204181432	0.00291892344626939	0.4824427888548593	-5.212006539752792	-1.2186798437255198e-18	0.005930555555555675	0.49422222222221973	-5.535277777777793
French	38	10	57.75	77	86	93	97	100	100	0	70.36	88.51	94.98	97.44	98.27	98.71	99.21	-8.168868654769905e-07	0.00015127352803192515	-0.017262953856987187	2.225756754618657	-20.673871709482412	3.974228336123918e-18	-0.007923103779349563	2.0103548049227893	-19.31123767129297
French Extension	37	10	61.5	82	86	95	97	100	100	0	68.95	87.62	90.68	95.23	95.9	96.74	97.24	-2.7622888924605844e-07	1.767773538360635e-05	-0.003843959645503329	1.6107500268153123	-15.737924222664134	-6.246336613971973e-18	-0.005946637426899466	1.7640350877192428	-17.04568713450248
General Mathematics	40	10	45.0	60	69	79	86	94	100	0	32.58	48.99	59.54	70.28	76.72	82.81	87.38	-3.278992242575231e-07	-9.683699917533289e-06	0.008177569287820069	0.5406939595036672	-6.205560245030675	-1.8089784887051387e-18	0.003261393596987037	0.7515024482109156	-7.84116384180788
Geography	41	10	45.0	60	72	83	91	98	100	0	34.83	54.32	71.88	83.75	89.57	93.06	94.06	-8.463060307544077e-07	1.5314594701668583e-05	0.013893343920377988	0.28282392726637595	-4.2122944155009705	1.1860255708257983e-18	0.00607956989247295	0.6608301075268885	-7.216258064516172
German	43	10	54.0	72	83	91	95	100	100	0	59.53	80.05	91.49	95.66	96.92	98.01	98.51	-1.5814486845124414e-06	0.00027647877975917425	-0.01945951647164463	1.9188105562345052	-17.500722393406775	9.542046075987884e-19	-0.0034401237295627134	1.5732191780822014	-15.388179407865792
German Extension	42	10	48.0	64	81	94	98	100	100	0	50.44	68.53	85.7	92.85	94.28	94.89	95.39	-1.0099586509022637e-06	0.00016673541137311314	-0.012662911057867737	1.7190278175499212	-16.076085853640997	-7.612597004911182e-19	-0.003648930620761483	1.5390949400104277	-15.02605633802812
Health	44	10	44.25	59	70	81	89	98	100	0	30.49	46.64	59.87	71.81	78.98	85.34	86.75	-9.198492420770069e-07	0.00011202403893470134	0.0005464797165348726	0.680016402666112	-6.952634390160924	1.3049664684898906e-18	0.004181508967223056	0.6633126159554817	-7.051277056277112
Italian	49	10	56.25	75	85	92	97	100	100	0	59.14	79.13	88.85	93.06	95.11	96.05	96.55	-2.048780014606319e-06	0.00042514802543433777	-0.03356622176182798	2.317983192707594	-20.227103083754365	-1.9960093507496946e-18	-0.0032717948717945586	1.495487179487166	-14.627692307692236
Japanese	50	10	52.5	70	83	92	96	100	100	0	53.92	73.17	86.36	91.9	93.64	95.02	95.52	-1.4508840888277045e-06	0.00027183397143225394	-0.020111740398892054	1.8639687331811283	-16.8838702771886	-2.1575185335728652e-19	-0.002806638566912537	1.4440310853530038	-14.159646996838774
Legal Studies	51	10	44.25	59	69	81	89	96	100	0	36.76	55.19	68.57	81.24	87.25	91.08	93.27	-1.4023220823541102e-07	-0.00010345871737301341	0.0178533917808176	0.37289446414625826	-5.399096244776345	1.4381198493528853e-18	0.0035876859218261833	0.8787762020062327	-9.146530612244973
Literature	53	10	54.0	72	83	91	96	100	100	0	48.63	71.32	85.99	92.22	94.7	96.13	96.63	-3.3304634564886416e-06	0.0006503061243032846	-0.04093587611083761	2.05337570188245	-17.05474121092724	2.385511518996971e-18	0.0025111477122078617	0.9444084682441017	-9.695199453661836
Marine Science	54	10	51.0	68	76	84	90	95	100	0	22.58	46.92	61.41	74.12	81.66	86.54	91.42	-2.985664357481826e-06	0.00047623947574542596	-0.009551641403689196	0.09245039057951471	-0.4107827979159495	-1.1024406866679384e-18	0.015186128526645878	-0.3755525078369933	2.236912225705339
Mathematical Methods	55	10	48.0	64	76	86	93	98	100	0	61.61	79.43	89.64	94.43	96.44	97.43	97.93	5.84566126262683e-07	-0.00016730878739420365	0.005265330572948534	1.7145611198809563	-17.50733558068731	1.942796639356023e-18	-0.009395342312009291	2.1661812570146033	-20.722278338945074
Modern History	57	10	48.0	64	76	87	94	99	100	0	31.63	52.84	71.82	84.4	89.73	92.48	93.03	-2.3496326743167823e-06	0.00034352560616353236	-0.006472064900643581	0.5391192684299397	-5.0561460555798945	-5.329796090268734e-19	0.009138608305274985	0.3022615039281717	-3.936475869809211
Music	61	10	52.5	70	83	93	98	100	100	0	31.84	52.97	71.69	82.53	86.58	87.96	88.46	-3.753096500342115e-06	0.0007680926557912635	-0.046288057102828115	1.7136312594152303	-13.23607448398446	-1.4087326895681649e-18	0.0076324200913244124	0.2722397260273881	-3.4856392694063167
Music Extension (Composition)	58	10	63.75	85	94	99	100	100	100	0	44.24	68.03	79.18	84.0	84.85	84.85	85.35	-6.379191092550925e-06	0.0016095053149607465	-0.134842017698658	4.998615208327259	-38.0476517763706	1.4591873146876028e-18	0.003950264550264272	0.5317915343915485	-5.7129417989419125
Music Extension (Musicology)	59	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Music Extension (Performance)	60	10	64.5	86	93	98	100	100	100	0	40.8	66.75	76.4	81.99	83.92	83.92	84.42	-7.303823487287881e-06	0.0018437196519721524	-0.15323012647353174	5.43856315877928	-40.833281318580816	-1.6929546639492353e-18	0.006027493432376422	0.2996501041760888	-3.5992503849985766
