ATAR,Aggregate
69.65,317.48
69.7,317.72
69.75,317.95
69.8,318.19
69.85,318.44
69.9,318.69
69.95,318.93
70.0,319.17
70.05,319.4
70.1,319.63
70.15,319.86
70.2,320.09
70.25,320.33
70.3,320.58
70.35,320.84
70.4,321.11
70.45,321.42
70.5,321.83
70.55,322.26
70.6,322.57
70.65,322.77
70.7,322.95
70.75,323.12
70.8,323.29
70.85,323.46
70.9,323.64
70.95,323.84
71.0,324.08
71.05,324.34
71.1,324.6
71.15,324.87
71.2,325.12
71.25,325.37
71.3,325.61
71.35,325.86
71.4,326.11
71.45,326.37
71.5,326.61
71.55,326.83
71.6,327.06
71.65,327.3
71.7,327.55
71.75,327.79
71.8,328.02
71.85,328.25
71.9,328.51
71.95,328.77
72.0,329.04
72.05,329.31
72.1,329.58
72.15,329.86
72.2,330.16
72.25,330.5
72.3,330.94
72.35,331.36
72.4,331.66
72.45,331.83
72.5,331.98
72.55,332.14
72.6,332.3
72.65,332.88
72.7,333.14
72.75,333.31
72.8,333.49
72.85,333.67
72.9,333.85
72.95,334.05
73.0,334.25
73.05,334.48
73.1,334.73
73.15,334.97
73.2,335.22
73.25,335.49
73.3,335.77
73.35,336.05
73.4,336.33
73.45,336.61
73.5,336.88
73.55,337.14
73.6,337.41
73.65,337.67
73.7,337.94
73.75,338.21
73.8,338.48
73.85,338.74
73.9,339.01
73.95,339.28
74.0,339.55
74.05,339.81
74.1,340.08
74.15,340.34
74.2,340.61
74.25,340.87
74.3,341.13
74.35,341.4
74.4,341.65
74.45,341.91
74.5,342.17
74.55,342.43
74.6,342.69
74.65,342.96
74.7,343.23
74.75,343.51
74.8,343.78
74.85,344.04
74.9,344.3
74.95,344.56
75.0,344.81
75.05,345.09
75.1,345.39
75.15,345.7
75.2,346.14
75.25,346.64
75.3,346.97
75.35,347.15
75.4,347.33
75.45,347.53
75.5,347.73
75.55,347.93
75.6,348.14
75.65,348.37
75.7,348.62
75.75,348.89
75.8,349.17
75.85,349.46
75.9,349.8
75.95,350.51
76.0,350.81
76.05,351.06
76.1,351.27
76.15,351.46
76.2,351.64
76.25,351.82
76.3,352.02
76.35,352.24
76.4,352.49
76.45,352.79
76.5,353.63
76.55,353.94
76.6,354.16
76.65,354.36
76.7,354.64
76.75,354.97
76.8,355.26
76.85,355.5
76.9,355.73
76.95,355.95
77.0,356.16
77.05,356.37
77.1,356.57
77.15,356.78
77.2,357.0
77.25,357.24
77.3,357.49
77.35,357.77
77.4,358.08
77.45,358.51
77.5,359.11
77.55,359.46
77.6,359.63
77.65,359.79
77.7,359.96
77.75,360.17
77.8,360.54
77.85,360.99
77.9,361.4
77.95,361.7
